Date,BTC_pd_T0,BTC_v_T0,BTC_pd_T1,BTC_rpd_T1,BTC_v_T1,BTC_s_T1,BTC_pd_T2,BTC_v_T2,BTC_s_T2,BTC_dl_m3,BTC_do_m3,BTC_dp_m3,BTC_log_v_T0,BTC_log_v_T1,BTC_log_v_T2,BTC_log_s_T2,BTC_cbrt_rpd_T0,BTC_cbrt_hl_T0,BTC_cbrt_pd_T1,BTC_cbrt_dv_T1,BTC_cbrt_hl_T1,BTC_cbrt_pd_T2,BTC_cbrt_dl_m3,BTC_cbrt_do_m3,BTC_cbrt_dp_m3
2010-07-01,0.0011,31300.0,0.0,0.181818181818,100.0,0.55,0.001,5100.0,30.6,0.0004,-0.000433333333333,0.000133333333333,10.3514053249,4.61512051684,8.53719187792,3.45315712059,0.584803547643,0.103228011546,0.0,-31.4812183326,0.0,0.1,0.0736806299728,-0.0756729560216,0.0510872954929
2010-07-02,0.0,100.0,0.001,0.234545454545,5100.0,30.6,0.00129,10100.0,55.55,3.33333333333e-05,-0.000333333333333,-0.000183333333333,4.61512051684,8.53719187792,9.22038970783,4.03512520256,0.0,0.0,0.1,17.0997594668,0.1,0.108858723345,0.0321829794869,-0.0693361274351,-0.0568085640286
2010-07-03,0.000365,5100.0,0.000655,0.303993480033,10100.0,55.55,0.001865,12100.0,81.675,-8.67361737988e-19,-6.5e-05,0.00015,8.53719187792,9.22038970783,9.4010433728,4.41491725887,0.390384679673,0.1,0.0868454560272,17.0997594668,0.108858723345,0.123090993984,-9.53674316406e-07,-0.0402072575859,0.0531329284591
2010-07-04,0.00129,10100.0,0.0025,0.0454545454545,12100.0,81.675,0.00025,100.0,0.575,-8.67361737988e-19,-0.000763333333333,0.000263333333333,9.22038970783,9.4010433728,4.61512051684,0.454255272278,0.616702449761,0.108858723345,0.13572088083,12.5992104989,0.13572088083,0.0629960524947,-9.53674316406e-07,-0.0913912763315,0.064096642188
2010-07-05,0.0025,12100.0,0.00025,0.454545454545,100.0,0.575,0.0025,2100.0,14.4375,-8.67361737988e-19,-0.00159666666667,0.000451666666667,9.4010433728,4.61512051684,7.65016870085,2.73679961439,0.768880959829,0.13572088083,0.0629960524947,-22.8942848511,0.0629960524947,0.13572088083,-9.53674316406e-07,-0.116879430344,0.0767254327842
2010-07-06,0.0,100.0,0.00225,0.102608695652,2100.0,14.4375,0.00059,600.0,3.777,0.000166666666667,-0.00109666666667,-0.000631666666667,4.61512051684,7.65016870085,6.39859493454,1.56381273441,0.0,0.0,0.13103706971,12.5992104989,0.13103706971,0.0838720652653,0.0550321208149,-0.103123635325,-0.085801718544
2010-07-07,0.00225,2100.0,0.00059,0.408695652174,600.0,3.777,0.00235,5600.0,45.22,8.33333333333e-05,-0.0015,0.000333333333333,7.65016870085,6.39859493454,8.63070043221,3.83341260485,0.731427959813,0.13103706971,0.0838720652653,-11.4471424255,0.0838720652653,0.132950289523,0.0436790232368,-0.114471424255,0.0693361274351
2010-07-12,0.002,20300.0,0.0005,0.25,9425.0,139.01875,0.003,13500.0,475.875,0.00165,0.0023,0.00108416666667,9.9184254249,9.15122710748,9.51051903576,6.16725440204,0.550321208149,0.158740105197,0.0793700525984,-22.1552381085,0.191293118277,0.144224957031,0.118166575047,0.13200061218,0.102730330073
2010-07-13,-0.00345,9425.0,-0.00095,1.82131661442,13500.0,475.875,0.02905,15200.0,695.02,0.00266666666667,0.00478333333333,0.0005925,9.15122710748,9.51051903576,9.62911649414,6.54537839555,-0.600278519246,0.165096362445,-0.0983047572492,15.9726093864,0.368403149864,0.307408151121,0.13867225487,0.168491067609,0.0839903617059
2010-07-14,-0.00325,13500.0,0.02675,3.1095890411,15200.0,695.02,0.05675,20900.0,1434.2625,-0.00216666666667,0.00441666666667,0.01675,9.51051903576,9.62911649414,9.9475522837,7.26910303829,-0.562609201416,0.379139326344,0.299071201486,11.9348319193,0.400935311277,0.384286642171,-0.129398934611,0.164070892743,0.255861497346
2010-07-15,0.01995,15200.0,0.04995,0.976447105788,20900.0,1434.2625,0.02446,1520.0,113.24,0.00583333333333,0.000883333333333,0.00798333333333,9.62911649414,9.9475522837,7.32712329226,4.73830149859,0.926925983876,0.376688680504,0.368280307858,17.8631598771,0.418885936412,0.290281138383,0.180013716376,0.0959492401408,0.199861014549
2010-07-16,0.0278,20900.0,0.00231,0.818644067797,1520.0,113.24,0.03864,1575.01,137.813375,0.0208333333333,0.0022,-0.002075,9.9475522837,7.32712329226,7.36265161558,4.9331304051,0.838238490631,0.362792075346,0.132191640828,-26.8607369783,0.309857721737,0.338074467446,0.275160604075,0.130059144685,-0.127547720187
2010-07-17,-0.02499,1520.0,0.01134,-0.181208053691,1575.01,137.813375,-0.0135,3574.0,275.32309,0.0117566666667,0.0179966666667,-0.00853666666667,7.32712329226,7.36265161558,8.18172045513,5.62157079702,-0.694816294017,0.292362781719,0.224666171617,3.80318292876,0.33616804708,-0.238110157795,0.227384785144,0.262057961006,-0.204375786474
2010-07-18,0.02643,1575.01,0.00159,0.337316950008,3574.0,275.32309,0.02004,3662.0,219.72,0.00818666666667,-0.0107066666667,-0.00276,7.36265161558,8.18172045513,8.20603776278,5.39689492991,0.763388951713,0.303983898039,0.116716531972,12.5970892747,0.322877689827,0.271622602327,0.201543611227,-0.220403300628,-0.14027158167
